Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2022-12-28 10:58:50,Telco,AUD,-30.0,,,AUD,-30.0,-20.24210775,,
2022-12-24 03:09:43,Aldi Stores   Coburg N,AUD,-25.63,,,AUD,-25.63,-17.29350738775,,
2022-12-23 09:11:12,Whs Long Shot Perth T4,AUD,-6.52,,,AUD,-6.52,-4.399284751,,
2022-12-23 07:18:30,Little Creatures,AUD,-30.3,,,AUD,-30.3,-20.4445288275,,
2022-12-23 06:44:50,Uber   *Trip,AUD,-35.32,,,AUD,-35.32,-23.831708191,,
2022-12-22 07:56:57,Wan Chang Chinese,AUD,-125.0,,,AUD,-125.0,-84.342115625,,
2022-12-22 07:45:04,TAUD -> AUD,AUD,500.0,TAUD,500.0,AUD,500.0,337.3684625,,
2022-12-20 09:16:26,Coles Express 6913,AUD,-35.4,,,AUD,-35.4,-23.885687145,,
2022-12-17 07:15:41,Woolworths/Belmont Forum,AUD,-22.3,,,AUD,-22.3,-15.0466334275,,
2022-12-17 06:50:03,Family Fresh Market,AUD,-17.02,,,AUD,-17.02,-11.4840224635,,
2022-12-17 06:40:52,Coles 4824,AUD,-10.0,,,AUD,-10.0,-6.74736925,,
2022-12-17 06:32:36,Aldi Stores   Cloverda,AUD,-31.74,,,AUD,-31.74,-21.4161499995,,
2022-12-15 02:08:37,Paydirt Media Pty Lt,AUD,-110.0,,,AUD,-110.0,-74.22106175,,
2022-12-15 00:40:13,Kwik Kopy Printing,AUD,-20.0,,,AUD,-20.0,-13.4947385,,
2022-12-13 08:35:41,Coles Express 6913,AUD,-39.37,,,AUD,-39.37,-26.56439273725,,
2022-12-13 07:58:29,TAUD -> AUD,AUD,200.0,TAUD,200.0,AUD,200.0,134.947385,,
2022-12-12 12:51:55,Spotify P1 F82 A5686,AUD,-15.99,,,AUD,-15.99,-10.78904343075,,
2022-12-10 08:54:23,Grilld Pty Ltd   Victo,AUD,-41.4,,,AUD,-41.4,-27.934108695,,
2022-12-10 08:10:53,Woolworths/Belmont Forum,AUD,-26.5,,,AUD,-26.5,-17.8805285125,,
2022-12-10 07:51:56,Aldi Stores   Cloverda,AUD,-39.6,,,AUD,-39.6,-26.71958223,,
2022-12-09 10:59:10,Smartrider,AUD,-20.0,,,AUD,-20.0,-13.4947385,,
2022-12-06 16:32:21,Ampol Rivervale 55533 F,AUD,-34.97,,,AUD,-34.97,-23.59555026725,,
2022-12-06 16:08:51,Aldi Stores   Cloverda,AUD,-7.01,,,AUD,-7.01,-4.72990584425,,
2022-12-04 15:58:02,Boost Juice Belmont,AUD,-16.6,,,AUD,-16.6,-11.200632955,,
2022-12-04 15:27:51,Family Fresh Market,AUD,-37.38,,,AUD,-37.38,-25.2216662565,,
2022-12-04 14:45:01,Aldi Stores   Cloverda,AUD,-20.44,,,AUD,-20.44,-13.791622747,,
2022-12-04 08:34:00,Big W/Abernethy & Wright,AUD,-40.0,,,AUD,-40.0,-26.989477,,
2022-12-04 05:12:55,TAUD -> AUD,AUD,300.0,TAUD,300.0,AUD,300.0,202.4210775,,
2022-12-03 18:33:25,Tao Cafe Victoria Park,AUD,-47.5,,,AUD,-47.5,-32.0500039375,,
2022-12-03 16:50:53,Amazon Marketplace Au,AUD,-26.77,,,AUD,-26.77,-18.06270748225,,
2022-12-03 02:48:33,Rise Supermarket,AUD,-2.6,,,AUD,-2.6,-1.754316005,,
2022-12-02 19:58:49,Amazon Web Services,AUD,-27.88,,,AUD,-27.88,-18.811665469,,
2022-12-01 03:33:48,Netflix.Com,AUD,-22.99,,,AUD,-22.99,-15.51220190575,,
2022-11-29 08:00:17,Coles Express 6913,AUD,-46.57,,,AUD,-46.57,-31.42249859725,,
2022-11-28 19:12:59,Telco,AUD,-30.0,,,AUD,-30.0,-20.24210775,,
2022-11-27 16:54:32,Paypal *Ebay Au,AUD,-58.45,,,AUD,-58.45,-39.43837326625,,
2022-11-27 15:20:02,Aldi Stores   Cloverda,AUD,-53.06,,,AUD,-53.06,-35.8015412405,,
2022-11-27 15:05:18,Red Dot,AUD,-12.99,,,AUD,-12.99,-8.76483265575,,
2022-11-27 14:51:53,Family Fresh Market,AUD,-28.08,,,AUD,-28.08,-18.946612854,,
2022-11-27 13:53:37,Lh Trading,AUD,-22.67,,,AUD,-22.67,-15.29628608975,,
2022-11-27 07:47:14,Woolworths/Belmont Forum,AUD,-17.68,,,AUD,-17.68,-11.929348834,,
2022-11-26 15:44:33,Cpp Pier Street,AUD,-4.04,,,AUD,-4.04,-2.725937177,,
2022-11-26 14:24:27,2 Sis Waffles,AUD,-23.74,,,AUD,-23.74,-16.0182545995,,
2022-11-26 05:55:06,TAUD -> AUD,AUD,400.0,TAUD,400.0,AUD,400.0,269.89477,,
2022-11-26 00:23:30,Paypal *S3,AUD,-1226.99,,,AUD,-1226.99,-827.89545960575,,
2022-11-25 16:19:50,TAUD -> AUD,AUD,1100.0,TAUD,1100.0,AUD,1100.0,742.2106175,,
2022-11-23 08:17:13,Coles 4824,AUD,-3.0,,,AUD,-3.0,-2.024210775,,
2022-11-22 08:09:44,Coles Express 6913,AUD,-30.75,,,AUD,-30.75,-20.74816044375,,
2022-11-20 13:41:42,Family Fresh Market,AUD,-32.69,,,AUD,-32.69,-22.05715007825,,
2022-11-20 13:23:54,Aldi Stores   Cloverda,AUD,-67.26,,,AUD,-67.26,-45.3828055755,,
2022-11-20 06:02:34,Big W/Abernethy & Wright,AUD,-59.0,,,AUD,-59.0,-39.809478575,,
2022-11-20 05:48:48,Woolworths/Belmont Forum,AUD,-18.3,,,AUD,-18.3,-12.3476857275,,
2022-11-20 05:09:51,Kmart 1018,AUD,-77.75,,,AUD,-77.75,-52.46079591875,,
2022-11-19 20:44:05,City Heart Indian Re,AUD,-53.5,,,AUD,-53.5,-36.0984254875,,
2022-11-15 16:19:30,Bp Kewdale Ts 2498,AUD,-51.53,,,AUD,-51.53,-34.76919374525,,
2022-11-12 20:51:54,Spotify P1 Ee12 Eb38,AUD,-15.99,,,AUD,-15.99,-10.78904343075,,
2022-11-12 14:27:08,Belmont Cuts Pty Ltd,AUD,-35.0,,,AUD,-35.0,-23.615792375,,
2022-11-12 11:01:16,Amazon Web Services,AUD,-3.05,,,AUD,-3.05,-2.05794762125,,
2022-11-12 04:40:32,Woolworths/Belmont Forum,AUD,-93.78,,,AUD,-93.78,-63.2768288265,,
2022-11-11 17:39:41,Uber* Trip,AUD,-9.13,,,AUD,-9.13,-6.16034812525,,
2022-11-08 16:41:23,Aldi Stores   Cloverda,AUD,-14.08,,,AUD,-14.08,-9.500295904,,
2022-11-08 16:14:28,Vibe Forrestfield,AUD,-53.99,,,AUD,-53.99,-36.42904658075,,
2022-11-08 14:18:52,Refund: Burswood Car Rentals,AUD,400.0,,,AUD,400.0,269.89477,,
2022-11-08 08:53:22,Woolworths/Belmont Forum,AUD,-30.1,,,AUD,-30.1,-20.3095814425,,
2022-11-07 15:29:23,Atlas Fuel Welshpool P,AUD,-44.01,,,AUD,-44.01,-29.69517206925,,
2022-11-06 13:40:29,Burswood Car Rentals,AUD,-103.04,,,AUD,-103.04,-69.524892752,,
2022-11-05 04:37:39,Amazon Marketplace Au,AUD,-163.23,,,AUD,-163.23,-110.13730826775,,
2022-11-04 17:08:34,TAUD -> AUD,AUD,500.0,TAUD,500.0,AUD,500.0,337.3684625,,
2022-11-02 08:29:52,Coles 4824,AUD,-3.0,,,AUD,-3.0,-2.024210775,,
2022-11-01 02:51:00,Netflix.Com,AUD,-22.99,,,AUD,-22.99,-15.51220190575,,
2022-10-30 17:27:05,Tao Cafe,AUD,-54.0,,,AUD,-54.0,-36.43579395,,
2022-10-30 15:58:57,Aldi Stores   Cloverda,AUD,-27.39,,,AUD,-27.39,-18.48104437575,,
2022-10-30 15:30:28,Family Fresh Market,AUD,-33.68,,,AUD,-33.68,-22.725139634,,
